Date,Close Price
累计：,4.50
2024-12-23,26.65
2024-12-20,26.75
2024-12-19,27.14
2024-12-18,27.31
2024-12-17,27.17
2024-12-16,26.43
2024-12-13,26.75
2024-12-12,27.49
2024-12-11,27.22
2024-12-10,27.22
2024-12-09,26.96
2024-12-06,27.06
2024-12-05,26.95
2024-12-04,27.12
2024-12-03,27.77
2024-12-02,26.97
2024-11-29,26.18
2024-11-28,26.10
2024-11-27,26.54
2024-11-26,26.10
2024-11-25,26.55
2024-11-22,26.00
2024-11-21,27.26
2024-11-20,27.29
2024-11-19,27.55
2024-11-18,27.77
2024-11-15,28.70
2024-11-14,27.48
2024-11-13,28.26
2024-11-12,28.31
2024-11-11,28.58
2024-11-08,27.23
2024-11-07,27.33
2024-11-06,26.89
2024-11-05,27.18
2024-11-04,26.97
2024-11-01,26.16
2024-10-31,26.19
2024-10-30,26.44
2024-10-29,26.74
2024-10-28,27.27
2024-10-25,27.82
2024-10-24,27.30
2024-10-23,28.25
2024-10-22,27.31
2024-10-21,26.65
2024-10-18,26.98
2024-10-17,26.43
2024-10-16,27.22
2024-10-15,28.16
2024-10-14,29.07
2024-10-11,28.90
2024-10-10,30.20
2024-10-09,29.38
2024-10-08,32.03
2024-09-30,30.31
2024-09-27,27.55
2024-09-26,26.20
2024-09-25,24.76
2024-09-24,24.30
2024-09-23,24.10
2024-09-20,24.09
2024-09-19,23.91
2024-09-18,23.88
2024-09-13,23.13
2024-09-12,23.33
2024-09-11,23.52
2024-09-10,23.00
2024-09-09,22.96
2024-09-06,23.27
2024-09-05,23.27
2024-09-04,22.89
2024-09-03,22.42
2024-09-02,22.08
2024-08-30,23.16
2024-08-29,22.31
2024-08-28,21.83
2024-08-27,22.22
2024-08-26,22.36
2024-08-23,22.47
